Solenoid Open Time (s),Amount of Water (g)
0.16,0.059
0.16,0.06
0.16,0.059
0.16,0.061
0.16,0.056
0.16,0.061
0.16,0.06
0.16,0.059
0.16,0.06
0.16,0.062
0.16,0.056
0.16,0.059
0.16,0.059
0.16,0.058
0.16,0.061
0.16,0.057
0.16,0.058
0.16,0.062
0.16,0.057
0.16,0.058
0.16,0.059
0.16,0.06
0.16,0.058
0.16,0.058
0.16,0.056
0.16,0.057
0.16,0.058
0.16,0.057
0.16,0.057
0.16,0.06
0.16,0.058
0.16,0.059
0.16,0.059
0.16,0.059
0.16,0.059
0.16,0.057
0.16,0.058
0.16,0.057
0.16,0.062
0.16,0.059
0.16,0.056
0.16,0.057
0.16,0.057
0.16,0.057
0.16,0.056
0.16,0.059
0.16,0.057
0.16,0.059
0.16,0.059
0.16,0.057
